index_group,index_name,index_date,last_update_date,high,low,close,pe_ratio,pb_ratio,dividend_yield,
BSE,BSE:SENSEX,03-Dec-2024,04-Dec-24,80949.10,80244.78,80845.75,23.09,4.09,1.14,
BSE,BSE:SENSEX,29-Nov-2024,04-Dec-24,79923.90,79026.18,79802.79,22.79,4.04,1.15,
BSE,BSE:SENSEX,28-Nov-2024,04-Dec-24,80447.40,78918.92,79043.74,22.57,4.00,1.17,
BSE,BSE:SENSEX,27-Nov-2024,04-Dec-24,80511.15,79844.49,80234.08,22.91,4.06,1.15,
BSE,BSE:SENSEX,26-Nov-2024,04-Dec-24,80482.36,79798.67,80004.06,22.85,4.05,1.15,
BSE,BSE:SENSEX,25-Nov-2024,04-Dec-24,80473.08,79765.99,80109.85,22.88,4.06,1.15,
BSE,BSE:SENSEX,22-Nov-2024,04-Dec-24,79218.19,77226.69,79117.11,22.60,4.01,1.16,
BSE,BSE:SENSEX,21-Nov-2024,04-Dec-24,77711.11,76802.73,77155.79,22.04,3.91,1.19,
BSE,BSE:SENSEX,19-Nov-2024,04-Dec-24,78451.65,77411.31,77578.38,22.16,3.93,1.19,
BSE,BSE:SENSEX,18-Nov-2024,04-Dec-24,77886.97,76965.06,77339.01,22.09,3.92,1.19,
BSE,BSE:SENSEX,14-Nov-2024,04-Dec-24,78055.52,77424.81,77580.31,22.16,3.93,1.21,
BSE,BSE:SENSEX,13-Nov-2024,04-Dec-24,78690.02,77533.30,77690.95,22.19,3.93,1.18,
BSE,BSE:SENSEX,12-Nov-2024,04-Dec-24,79820.98,78547.84,78675.18,22.47,3.98,1.17,
BSE,BSE:SENSEX,11-Nov-2024,04-Dec-24,80102.14,79001.34,79496.15,22.70,4.03,1.15,
BSE,BSE:SENSEX,08-Nov-2024,04-Dec-24,79807.26,79117.37,79486.32,22.77,4.02,1.15,
BSE,BSE:SENSEX,07-Nov-2024,04-Dec-24,80563.42,79419.34,79541.79,22.78,4.03,1.15,
BSE,BSE:SENSEX,06-Nov-2024,04-Dec-24,80569.73,79459.12,80378.13,23.32,4.07,1.14,
BSE,BSE:SENSEX,05-Nov-2024,04-Dec-24,79523.13,78296.70,79476.63,23.06,4.02,1.14,
BSE,BSE:SENSEX,04-Nov-2024,04-Dec-24,79713.14,78232.60,78782.24,22.86,3.99,1.15,
BSE,BSE:SENSEX,31-Oct-2024,04-Dec-24,80044.95,79287.93,79389.06,23.28,4.02,1.18,
BSE,BSE:SENSEX,30-Oct-2024,04-Dec-24,80435.61,79821.99,79942.18,23.24,4.05,1.15,
BSE,BSE:SENSEX,29-Oct-2024,04-Dec-24,80450.48,79421.35,80369.03,23.40,4.07,1.14,
BSE,BSE:SENSEX,28-Oct-2024,04-Dec-24,80539.81,79418.82,80005.04,23.28,4.05,1.07,
BSE,BSE:SENSEX,25-Oct-2024,04-Dec-24,80253.19,79137.98,79402.29,23.14,4.02,1.15,
BSE,BSE:SENSEX,24-Oct-2024,04-Dec-24,80259.82,79813.02,80065.16,23.34,4.05,1.14,
BSE,BSE:SENSEX,23-Oct-2024,04-Dec-24,80646.31,79891.68,80081.98,23.34,4.06,1.14,
BSE,BSE:SENSEX,22-Oct-2024,04-Dec-24,81504.24,80149.53,80220.72,23.40,4.06,1.13,
BSE,BSE:SENSEX,21-Oct-2024,04-Dec-24,81770.02,80811.23,81151.27,23.69,4.11,1.11,
BSE,BSE:SENSEX,18-Oct-2024,04-Dec-24,81391.15,80409.25,81224.75,23.83,4.11,1.13,
BSE,BSE:SENSEX,17-Oct-2024,04-Dec-24,81781.40,80905.64,81006.61,23.78,4.10,1.12,
BSE,BSE:SENSEX,16-Oct-2024,04-Dec-24,81932.15,81358.26,81501.36,23.93,4.13,1.12,
BSE,BSE:SENSEX,15-Oct-2024,04-Dec-24,82300.44,81635.57,81820.12,24.02,4.14,1.11,
BSE,BSE:SENSEX,14-Oct-2024,04-Dec-24,82072.17,81541.20,81973.05,24.05,4.15,1.11,
BSE,BSE:SENSEX,11-Oct-2024,04-Dec-24,81671.38,81304.15,81381.36,23.88,4.12,1.12,
BSE,BSE:SENSEX,10-Oct-2024,04-Dec-24,82002.84,81538.94,81611.41,23.96,4.13,1.11,
BSE,BSE:SENSEX,09-Oct-2024,04-Dec-24,82319.21,81342.89,81467.10,23.92,4.13,1.12,
BSE,BSE:SENSEX,08-Oct-2024,04-Dec-24,81763.28,80813.07,81634.81,23.97,4.13,1.11,
BSE,BSE:SENSEX,07-Oct-2024,04-Dec-24,82137.77,80726.06,81050.00,23.79,4.10,1.12,
BSE,BSE:SENSEX,04-Oct-2024,04-Dec-24,83368.32,81532.68,81688.45,23.98,4.14,1.11,
BSE,BSE:SENSEX,03-Oct-2024,04-Dec-24,83752.81,82434.02,82497.10,24.22,4.18,1.10,
BSE,BSE:SENSEX,30-Sep-2024,04-Dec-24,85359.65,84257.14,84299.78,24.75,4.27,1.08,
BSE,BSE:SENSEX,27-Sep-2024,04-Dec-24,85978.25,85474.58,85571.85,25.12,4.33,1.06,
BSE,BSE:SENSEX,26-Sep-2024,04-Dec-24,85930.43,85106.74,85836.12,25.20,4.35,1.06,
BSE,BSE:SENSEX,25-Sep-2024,04-Dec-24,85247.42,84743.04,85169.87,25.00,4.31,1.07,
BSE,BSE:SENSEX,24-Sep-2024,04-Dec-24,85163.23,84716.07,84914.04,24.93,4.30,1.07,
BSE,BSE:SENSEX,23-Sep-2024,04-Dec-24,84980.53,84607.38,84928.61,24.93,4.30,1.07,
BSE,BSE:SENSEX,20-Sep-2024,04-Dec-24,84694.46,83187.64,84544.31,24.80,4.28,1.08,
BSE,BSE:SENSEX,19-Sep-2024,04-Dec-24,83773.61,83071.66,83184.80,24.40,4.21,1.10,
BSE,BSE:SENSEX,18-Sep-2024,04-Dec-24,83326.38,82700.63,82948.23,24.33,4.19,1.10,
BSE,BSE:SENSEX,17-Sep-2024,04-Dec-24,83152.41,82866.68,83079.66,24.37,4.20,1.10,
BSE,BSE:SENSEX,16-Sep-2024,04-Dec-24,83184.34,82832.82,82988.78,24.35,4.20,1.10,
BSE,BSE:SENSEX,13-Sep-2024,04-Dec-24,83092.93,82653.22,82890.94,24.32,4.19,1.10,
BSE,BSE:SENSEX,12-Sep-2024,04-Dec-24,83116.19,81534.29,82962.71,24.34,4.20,1.10,
BSE,BSE:SENSEX,11-Sep-2024,04-Dec-24,82134.95,81423.14,81523.16,23.92,4.12,1.12,
BSE,BSE:SENSEX,10-Sep-2024,04-Dec-24,82196.55,81445.30,81921.29,24.03,4.14,1.12,
BSE,BSE:SENSEX,09-Sep-2024,04-Dec-24,81653.36,80895.05,81559.54,23.93,4.12,1.12,
BSE,BSE:SENSEX,06-Sep-2024,04-Dec-24,82254.79,80981.93,81183.93,23.82,4.11,1.13,
BSE,BSE:SENSEX,05-Sep-2024,04-Dec-24,82617.49,82130.44,82201.16,24.12,4.16,1.11,
BSE,BSE:SENSEX,04-Sep-2024,04-Dec-24,82408.54,81833.69,82352.64,24.16,4.16,1.11,
BSE,BSE:SENSEX,03-Sep-2024,04-Dec-24,82675.06,82400.76,82555.44,24.22,4.18,1.11,
BSE,BSE:SENSEX,30-Aug-2024,04-Dec-24,82637.03,82256.02,82365.77,24.16,4.17,1.11,
BSE,BSE:SENSEX,29-Aug-2024,04-Dec-24,82285.83,81682.78,82134.61,24.08,4.14,1.12,
BSE,BSE:SENSEX,28-Aug-2024,04-Dec-24,82039.26,81578.32,81785.56,23.98,4.12,1.12,
BSE,BSE:SENSEX,27-Aug-2024,04-Dec-24,81919.11,81600.51,81711.76,23.96,4.12,1.12,
